Ethnicity_Group,Occupation,Population_Estimate,Percentage_within_Ethnicity,Percentage_within_Occupation
Asian/Asian Welsh/Asian British: Bangladeshi,1137 Information technology directors,385.0,0.2,0.3
Asian/Asian Welsh/Asian British: Bangladeshi,2131 IT project managers,160.0,0.1,0.5
Asian/Asian Welsh/Asian British: Bangladeshi,2132 IT managers,725.0,0.3,0.5
Asian/Asian Welsh/Asian British: Bangladeshi,"2133 IT business analysts, architects and systems designers",785.0,0.4,0.7
Asian/Asian Welsh/Asian British: Bangladeshi,2134 Programmers and software development professionals,1795.0,0.8,0.7
Asian/Asian Welsh/Asian British: Bangladeshi,2135 Cyber security professionals,140.0,0.1,0.7
Asian/Asian Welsh/Asian British: Bangladeshi,2136 IT quality and testing professionals,130.0,0.1,0.7
Asian/Asian Welsh/Asian British: Bangladeshi,2137 IT network professionals,195.0,0.1,1.2
Asian/Asian Welsh/Asian British: Bangladeshi,2139 Information technology professionals n.e.c.,550.0,0.2,0.7
Asian/Asian Welsh/Asian British: Chinese,1137 Information technology directors,950.0,0.5,0.8
Asian/Asian Welsh/Asian British: Chinese,2131 IT project managers,330.0,0.2,0.9
Asian/Asian Welsh/Asian British: Chinese,2132 IT managers,1320.0,0.7,0.9
Asian/Asian Welsh/Asian British: Chinese,"2133 IT business analysts, architects and systems designers",1485.0,0.7,1.4
Asian/Asian Welsh/Asian British: Chinese,2134 Programmers and software development professionals,5370.0,2.7,2
Asian/Asian Welsh/Asian British: Chinese,2135 Cyber security professionals,195.0,0.1,0.9
Asian/Asian Welsh/Asian British: Chinese,2136 IT quality and testing professionals,250.0,0.1,1.4
Asian/Asian Welsh/Asian British: Chinese,2137 IT network professionals,140.0,0.1,0.8
Asian/Asian Welsh/Asian British: Chinese,2139 Information technology professionals n.e.c.,1110.0,0.6,1.4
Asian/Asian Welsh/Asian British: Indian,1137 Information technology directors,9285.0,1,8.3
Asian/Asian Welsh/Asian British: Indian,2131 IT project managers,3695.0,0.4,10.5
Asian/Asian Welsh/Asian British: Indian,2132 IT managers,10305.0,1.1,7
Asian/Asian Welsh/Asian British: Indian,"2133 IT business analysts, architects and systems designers",13585.0,1.4,12.4
Asian/Asian Welsh/Asian British: Indian,2134 Programmers and software development professionals,27230.0,2.8,10.3
Asian/Asian Welsh/Asian British: Indian,2135 Cyber security professionals,1410.0,0.1,6.7
Asian/Asian Welsh/Asian British: Indian,2136 IT quality and testing professionals,4230.0,0.4,24.2
Asian/Asian Welsh/Asian British: Indian,2137 IT network professionals,1025.0,0.1,6.1
Asian/Asian Welsh/Asian British: Indian,2139 Information technology professionals n.e.c.,12320.0,1.3,15.4
Asian/Asian Welsh/Asian British: Pakistani,1137 Information technology directors,1900.0,0.3,1.7
Asian/Asian Welsh/Asian British: Pakistani,2131 IT project managers,680.0,0.1,1.9
Asian/Asian Welsh/Asian British: Pakistani,2132 IT managers,2320.0,0.4,1.6
Asian/Asian Welsh/Asian British: Pakistani,"2133 IT business analysts, architects and systems designers",2485.0,0.4,2.3
Asian/Asian Welsh/Asian British: Pakistani,2134 Programmers and software development professionals,4970.0,0.9,1.9
Asian/Asian Welsh/Asian British: Pakistani,2135 Cyber security professionals,550.0,0.1,2.6
Asian/Asian Welsh/Asian British: Pakistani,2136 IT quality and testing professionals,450.0,0.1,2.6
Asian/Asian Welsh/Asian British: Pakistani,2137 IT network professionals,715.0,0.1,4.3
Asian/Asian Welsh/Asian British: Pakistani,2139 Information technology professionals n.e.c.,2130.0,0.4,2.7
Asian/Asian Welsh/Asian British: Other Asian,1137 Information technology directors,1200.0,0.3,1.1
Asian/Asian Welsh/Asian British: Other Asian,2131 IT project managers,340.0,0.1,1
Asian/Asian Welsh/Asian British: Other Asian,2132 IT managers,1580.0,0.3,1.1
Asian/Asian Welsh/Asian British: Other Asian,"2133 IT business analysts, architects and systems designers",1710.0,0.4,1.6
Asian/Asian Welsh/Asian British: Other Asian,2134 Programmers and software development professionals,4530.0,1,1.7
Asian/Asian Welsh/Asian British: Other Asian,2135 Cyber security professionals,260.0,0.1,1.2
