Occupation,Age_Bracket,Age,Gender,Ethnicity,Bias_Age,Bias_Gender,Bias_Ethnicity,Combined_Bias_Factor,Skill_Score,Overall_Score,Final_Prob,Hired
1137 Information technology directors,55 to 59,58,Male,White,0.11685900576016568,0.465342009751802,0.020634437503715665,1.222557713922655,12,14.67069256707186,0.028389635220285585,0
1137 Information technology directors,20 to 24,21,Female,White,-2.492549538177179,-1.027050976484645,0.020634437503715665,0.3115105647126337,30,9.34531694137901,0.01686562461861195,0
1137 Information technology directors,20 to 24,21,Female,White,-2.492549538177179,-1.027050976484645,0.020634437503715665,0.3115105647126337,79,24.609334612298063,0.07316444753044506,0
1137 Information technology directors,25 to 29,26,Female,White,-1.352173995595605,-1.027050976484645,0.020634437503715665,0.45557412381675844,46,20.956409695570887,0.05193850082647782,0
1137 Information technology directors,50 to 54,53,Male,Other,0.3654696707095503,0.465342009751802,-0.2772586769150353,1.2026382291275304,30,36.07914687382591,0.19907505723484178,0
1137 Information technology directors,16 to 19,17,Male,White,-3.128937705801137,0.465342009751802,0.020634437503715665,0.4143736872041239,94,38.951126597187645,0.24882527454294748,0
1137 Information technology directors,60 to 64,60,Female,White,-0.11134855878799191,-1.027050976484645,0.020634437503715665,0.6889487692740824,99,68.20592815813416,0.8606372450302603,1
1137 Information technology directors,35 to 39,35,Male,White,0.18299773820180693,0.465342009751802,0.020634437503715665,1.2498098192667417,43,53.74182222846989,0.5924691630480936,0
1137 Information technology directors,55 to 59,55,Female,White,0.11685900576016568,-1.027050976484645,0.020634437503715665,0.7434013703690114,21,15.61142877774924,0.03110290692062459,0
1137 Information technology directors,30 to 34,34,Male,White,-0.49189854034211555,0.465342009751802,0.020634437503715665,0.9980279160889511,33,32.93492123093539,0.15361720897377776,0
1137 Information technology directors,40 to 44,42,Male,White,0.5373934195420054,0.465342009751802,0.020634437503715665,1.406526639340801,95,133.62003073737608,0.999766478550079,1
1137 Information technology directors,55 to 59,59,Female,White,0.11685900576016568,-1.027050976484645,0.020634437503715665,0.7434013703690114,28,20.81523837033232,0.051247741377770564,0
1137 Information technology directors,45 to 49,46,Male,White,0.5815028083439374,0.465342009751802,0.020634437503715665,1.427359763557572,96,137.02653730152693,0.999833883276099,1
1137 Information technology directors,55 to 59,55,Female,Asian,0.11685900576016568,-1.027050976484645,0.18902517122816812,0.786321974891023,92,72.34162168997412,0.9032756135148485,1
