timestamp,stage,candidate_index,Gender,Experience,Test_Score,Interview_Score,decision
1743035037.886035,Stage 1,1,Male,6,50,7,Reject & Distrust
1743035065.2064815,Stage 1,1,Male,6,50,7,Reject & Distrust
1743035072.4908657,Stage 1,2,Female,6,50,7,Reject & Distrust
1743035088.4029286,Stage 1,3,Male,8,90,9,Accept & Trust
1743035097.125826,Stage 1,4,Female,8,90,9,Accept & Trust
1743035132.9318259,Stage 2,1,Male,6,50,7,Reject & Distrust
1743035164.3847017,Stage 2,2,Female,6,50,7,Reject & Distrust
1743035195.4800565,Stage 2,3,Male,8,90,9,Reject & Distrust
1743035213.8602273,Stage 2,4,Female,8,90,9,Reject & Distrust
1743035227.01655,Stage 3,1,Male,6,50,7,Accept & Trust
1743035235.2100358,Stage 3,2,Female,6,50,7,Accept & Trust
1743035245.370023,Stage 3,3,Male,8,90,9,Accept & Trust
1743035252.4071138,Stage 3,4,Female,8,90,9,Accept & Trust
1743035273.9873087,Stage 4,1,Male,6,50,7,Accept & Trust
1743035292.1117437,Stage 4,2,Female,6,50,7,Accept & Trust
1743035309.9221284,Stage 4,3,Male,8,90,9,Accept & Trust
1743035323.814736,Stage 4,4,Female,8,90,9,Accept & Trust
